Iterasi,K,Init,Max_Iter,Silhouette,Waktu_detik
1,2,k-means++,100,0.3355,0.0154
2,2,k-means++,300,0.3355,0.0108
3,2,k-means++,500,0.3355,0.0108
4,2,random,100,0.3355,0.0082
5,2,random,300,0.3355,0.0083
6,2,random,500,0.3355,0.0091
7,3,k-means++,100,0.3578,0.0136
8,3,k-means++,300,0.3578,0.0137
9,3,k-means++,500,0.3578,0.0134
10,3,random,100,0.3578,0.0107
11,3,random,300,0.3578,0.0104
12,3,random,500,0.3578,0.0112
13,4,k-means++,100,0.404,0.0153
14,4,k-means++,300,0.404,0.0143
15,4,k-means++,500,0.404,0.0174
16,4,random,100,0.404,0.0123
17,4,random,300,0.404,0.0102
18,4,random,500,0.404,0.0104
19,5,k-means++,100,0.4166,0.0183
20,5,k-means++,300,0.4166,0.0168
21,5,k-means++,500,0.4166,0.017
22,5,random,100,0.4166,0.0095
23,5,random,300,0.4166,0.0092
24,5,random,500,0.4166,0.0091
25,6,k-means++,100,0.4284,0.0181
26,6,k-means++,300,0.4284,0.0218
27,6,k-means++,500,0.4284,0.0236
28,6,random,100,0.4269,0.0096
29,6,random,300,0.4269,0.0095
30,6,random,500,0.4269,0.0099
31,7,k-means++,100,0.4172,0.02
32,7,k-means++,300,0.4172,0.0209
33,7,k-means++,500,0.4172,0.02
34,7,random,100,0.4188,0.0089
35,7,random,300,0.4188,0.0088
36,7,random,500,0.4188,0.0093
37,8,k-means++,100,0.4082,0.0218
38,8,k-means++,300,0.4082,0.021
39,8,k-means++,500,0.4082,0.0211
40,8,random,100,0.4076,0.0092
41,8,random,300,0.4076,0.0129
42,8,random,500,0.4076,0.0091
43,9,k-means++,100,0.4177,0.0294
44,9,k-means++,300,0.4177,0.0439
45,9,k-means++,500,0.4177,0.0254
46,9,random,100,0.4218,0.0092
47,9,random,300,0.4218,0.0095
48,9,random,500,0.4218,0.0091
49,10,k-means++,100,0.4066,0.0233
50,10,k-means++,300,0.4066,0.0271
51,10,k-means++,500,0.4066,0.0257
52,10,random,100,0.392,0.0097
53,10,random,300,0.392,0.0104
54,10,random,500,0.392,0.0101
